         4715341 function calls (4704452 primitive calls) in 2.289 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 zpoly.py:811(<dictcomp>)
       34    0.000    0.000    0.000    0.000 random.py:246(_randbelow)
        1    0.000    0.000    0.000    0.000 ast.py:27(<module>)
        8    0.000    0.000    0.000    0.000 core.py:8033(getdoc)
        1    0.000    0.000    0.000    0.000 mixins.py:63(NDArrayOperatorsMixin)
        3    0.000    0.000    0.000    0.000 zpoly.py:680(__lshift__)
       12    0.000    0.000    0.000    0.000 shape_base.py:11(atleast_1d)
        1    0.000    0.000    0.000    0.000 tempfile.py:108(_RandomNameSequence)
        1    0.000    0.000    0.000    0.000 ecc.py:162(init_curve)
        1    0.000    0.000    0.000    0.000 polyutils.py:45(<module>)
       45    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       12    0.000    0.000    0.000    0.000 zpoly.py:166(<dictcomp>)
        1    0.000    0.000    0.000    0.000 z2field_element.py:40(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:75(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
       36    0.000    0.000    0.000    0.000 getlimits.py:69(<lambda>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:452(_set_array_types)
        1    0.000    0.000    0.000    0.000 core.py:2771(__new__)
       18    0.000    0.000    0.000    0.000 sre_parse.py:228(isname)
       20    0.000    0.000    0.000    0.000 posixpath.py:120(dirname)
      275    0.000    0.000    0.000    0.000 {numpy.core.multiarray.add_docstring}
       14    0.000    0.000    0.000    0.000 __init__.py:144(_check_size)
      140    0.000    0.000    0.000    0.000 zpoly.py:218(get_coeff)
        1    0.000    0.000    0.000    0.000 _datasource.py:35(<module>)
      252    0.000    0.000    0.000    0.000 {min}
        2    0.000    0.000    0.000    0.000 core.py:2934(__array_finalize__)
